Nota,Pedido,Razao Social,Produto,Descricao,Vlr.Total Produtos,Peso Liquido,Quantidade,Und,Valor unitario,Total Liquido,Faturamento,Cidade,UF,Nome,Empresa,Descricao.1,Descricao.2,Espessura,Largura,% Comissao,Nome.1
1001,2001,CLIENTE_X,1,Produto A,100000.0,5000.0,100.0,UN,1000.0,95000.0,01/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_X,0.43,1200.0,5.0,TIPO_A
1002,2002,CLIENTE_Y,2,Produto B,75000.0,3000.0,75.0,UN,1000.0,70000.0,02/01/2025,Cidade B,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_Y,0.50,1000.0,4.0,TIPO_B
1003,2003,CLIENTE_X,3,Produto C,90000.0,4500.0,90.0,UN,1000.0,85000.0,03/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_Z,0.65,1100.0,5.0,TIPO_A
1004,2004,CLIENTE_Z,4,Produto D,120000.0,6000.0,120.0,UN,1000.0,115000.0,04/01/2025,Cidade C,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_W,0.38,1300.0,3.0,TIPO_C
1005,2005,CLIENTE_X,5,Produto E,104000.0,5200.0,104.0,UN,1000.0,99000.0,05/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_V,0.47,1250.0,5.0,TIPO_A
1006,2006,CLIENTE_Y,6,Produto F,94000.0,4700.0,94.0,UN,1000.0,89000.0,06/01/2025,Cidade B,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_X,0.60,1150.0,4.0,TIPO_B
1007,2007,CLIENTE_X,7,Produto G,102000.0,5100.0,102.0,UN,1000.0,97000.0,07/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_Y,0.43,1200.0,5.0,TIPO_A
1008,2008,CLIENTE_Z,8,Produto H,64000.0,3200.0,64.0,UN,1000.0,60000.0,08/01/2025,Cidade C,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_Z,0.50,1000.0,3.0,TIPO_C
1009,2009,CLIENTE_X,9,Produto I,86000.0,4300.0,86.0,UN,1000.0,81000.0,09/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_W,0.65,1100.0,5.0,TIPO_A
1010,2010,CLIENTE_Y,10,Produto J,118000.0,5900.0,118.0,UN,1000.0,113000.0,10/01/2025,Cidade B,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_V,0.38,1300.0,4.0,TIPO_B
1011,2011,CLIENTE_X,11,Produto K,96000.0,4800.0,96.0,UN,1000.0,91000.0,11/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_X,0.47,1250.0,5.0,TIPO_A
1012,2012,CLIENTE_Z,12,Produto L,92000.0,4600.0,92.0,UN,1000.0,87000.0,12/01/2025,Cidade C,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_Y,0.60,1150.0,3.0,TIPO_C
1013,2013,CLIENTE_X,13,Produto M,100000.0,5000.0,100.0,UN,1000.0,95000.0,13/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_Z,0.43,1200.0,5.0,TIPO_A
1014,2014,CLIENTE_Y,14,Produto N,62000.0,3100.0,62.0,UN,1000.0,58000.0,14/01/2025,Cidade B,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_W,0.50,1000.0,4.0,TIPO_B
1015,2015,CLIENTE_X,15,Produto O,88000.0,4400.0,88.0,UN,1000.0,83000.0,15/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_V,0.65,1100.0,5.0,TIPO_A
1016,2016,CLIENTE_Z,16,Produto P,116000.0,5800.0,116.0,UN,1000.0,111000.0,16/01/2025,Cidade C,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_X,0.38,1300.0,3.0,TIPO_C
1017,2017,CLIENTE_X,17,Produto Q,98000.0,4900.0,98.0,UN,1000.0,93000.0,17/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_Y,0.47,1250.0,5.0,TIPO_A
1018,2018,CLIENTE_Y,18,Produto R,94000.0,4700.0,94.0,UN,1000.0,89000.0,18/01/2025,Cidade B,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_Z,0.60,1150.0,4.0,TIPO_B
1019,2019,CLIENTE_X,19,Produto S,102000.0,5100.0,102.0,UN,1000.0,97000.0,19/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_W,0.43,1200.0,5.0,TIPO_A
1020,2020,CLIENTE_Z,20,Produto T,64000.0,3200.0,64.0,UN,1000.0,60000.0,20/01/2025,Cidade C,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_V,0.50,1000.0,3.0,TIPO_C
1021,2021,CLIENTE_X,21,Produto U,86000.0,4300.0,86.0,UN,1000.0,81000.0,21/01/2025,Cidade A,SP,Empresa_A,Empresa_A,CATEGORIA_X,MATERIAL_X,0.65,1100.0,5.0,TIPO_A
1022,2022,CLIENTE_Y,22,Produto V,118000.0,5900.0,118.0,UN,1000.0,113000.0,22/01/2025,Cidade B,SP,Empresa_A,Empresa_A,CATEGORIA_Y,MATERIAL_Y,0.38,1300.0,4.0,TIPO_B
