Emissao,Pedido,SKU,Descricao Material,Qtd. Pedida,Qtd. Em Aberto,Qtde.Pecas,Qtd.Disponivel,Qt. Reservada,U.M,Peso Liquido,Prev.Saida,Valor Total,Sit. Pedido,Dt. Aprovacao,Razao Social Cliente,Cidade,UF,Razao Social Vendedor,US,Cor
01/01/2025,3001,101,Produto W,96.0,4800.0,96,4800.0,0.0,UN,4800.0,10/01/2025,96000.0,APROVADO,01/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
02/01/2025,3002,102,Produto X,58.0,2900.0,58,2900.0,0.0,UN,2900.0,11/01/2025,58000.0,APROVADO,02/01/2025,CLIENTE_X,Cidade E,SP,VENDEDOR_X,1,AZUL
03/01/2025,3003,103,Produto Y,86.0,4300.0,86,4300.0,0.0,UN,4300.0,12/01/2025,86000.0,APROVADO,03/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
04/01/2025,3004,104,Produto Z,114.0,5700.0,114,5700.0,0.0,UN,5700.0,13/01/2025,114000.0,APROVADO,04/01/2025,CLIENTE_Y,Cidade F,SP,VENDEDOR_Y,1,VERDE
05/01/2025,3005,105,Produto AA,100.0,5000.0,100,5000.0,0.0,UN,5000.0,14/01/2025,100000.0,APROVADO,05/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
06/01/2025,3006,106,Produto AB,90.0,4500.0,90,4500.0,0.0,UN,4500.0,15/01/2025,90000.0,APROVADO,06/01/2025,CLIENTE_X,Cidade E,SP,VENDEDOR_X,1,AZUL
07/01/2025,3007,107,Produto AC,98.0,4900.0,98,4900.0,0.0,UN,4900.0,16/01/2025,98000.0,APROVADO,07/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
08/01/2025,3008,108,Produto AD,62.0,3100.0,62,3100.0,0.0,UN,3100.0,17/01/2025,62000.0,APROVADO,08/01/2025,CLIENTE_Y,Cidade F,SP,VENDEDOR_Y,1,VERDE
09/01/2025,3009,109,Produto AE,84.0,4200.0,84,4200.0,0.0,UN,4200.0,18/01/2025,84000.0,APROVADO,09/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
10/01/2025,3010,110,Produto AF,116.0,5800.0,116,5800.0,0.0,UN,5800.0,19/01/2025,116000.0,APROVADO,10/01/2025,CLIENTE_X,Cidade E,SP,VENDEDOR_X,1,AZUL
11/01/2025,3011,111,Produto AG,94.0,4700.0,94,4700.0,0.0,UN,4700.0,20/01/2025,94000.0,APROVADO,11/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
12/01/2025,3012,112,Produto AH,92.0,4600.0,92,4600.0,0.0,UN,4600.0,21/01/2025,92000.0,APROVADO,12/01/2025,CLIENTE_Y,Cidade F,SP,VENDEDOR_Y,1,VERDE
13/01/2025,3013,113,Produto AI,96.0,4800.0,96,4800.0,0.0,UN,4800.0,22/01/2025,96000.0,APROVADO,13/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
14/01/2025,3014,114,Produto AJ,60.0,3000.0,60,3000.0,0.0,UN,3000.0,23/01/2025,60000.0,APROVADO,14/01/2025,CLIENTE_X,Cidade E,SP,VENDEDOR_X,1,AZUL
15/01/2025,3015,115,Produto AK,86.0,4300.0,86,4300.0,0.0,UN,4300.0,24/01/2025,86000.0,APROVADO,15/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
16/01/2025,3016,116,Produto AL,114.0,5700.0,114,5700.0,0.0,UN,5700.0,25/01/2025,114000.0,APROVADO,16/01/2025,CLIENTE_Y,Cidade F,SP,VENDEDOR_Y,1,VERDE
17/01/2025,3017,117,Produto AM,96.0,4800.0,96,4800.0,0.0,UN,4800.0,26/01/2025,96000.0,APROVADO,17/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
18/01/2025,3018,118,Produto AN,90.0,4500.0,90,4500.0,0.0,UN,4500.0,27/01/2025,90000.0,APROVADO,18/01/2025,CLIENTE_X,Cidade E,SP,VENDEDOR_X,1,AZUL
19/01/2025,3019,119,Produto AO,98.0,4900.0,98,4900.0,0.0,UN,4900.0,28/01/2025,98000.0,APROVADO,19/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
20/01/2025,3020,120,Produto AP,62.0,3100.0,62,3100.0,0.0,UN,3100.0,29/01/2025,62000.0,APROVADO,20/01/2025,CLIENTE_Y,Cidade F,SP,VENDEDOR_Y,1,VERDE
21/01/2025,3021,121,Produto AQ,84.0,4200.0,84,4200.0,0.0,UN,4200.0,30/01/2025,84000.0,APROVADO,21/01/2025,CLIENTE_W,Cidade D,SP,VENDEDOR_W,1,VERMELHO
22/01/2025,3022,122,Produto AR,116.0,5800.0,116,5800.0,0.0,UN,5800.0,31/01/2025,116000.0,APROVADO,22/01/2025,CLIENTE_X,Cidade E,SP,VENDEDOR_X,1,AZUL
